question_id,question,answer,can_raw,can_pct,uk_raw,uk_pct,us_raw,us_pct
1,"Some people know more about artificial intelligence than other people due to their experience with it. Would you say you personally have an excellent, good, only fair or poor understanding of what artificial intelligence is?",Excellent,384,12.7,398,13.6,401,9.4
1,"Some people know more about artificial intelligence than other people due to their experience with it. Would you say you personally have an excellent, good, only fair or poor understanding of what artificial intelligence is?",Good,1251,41.3,1133,38.6,1937,45.5
1,"Some people know more about artificial intelligence than other people due to their experience with it. Would you say you personally have an excellent, good, only fair or poor understanding of what artificial intelligence is?",Only fair,1057,34.9,1088,37.1,1614,37.9
1,"Some people know more about artificial intelligence than other people due to their experience with it. Would you say you personally have an excellent, good, only fair or poor understanding of what artificial intelligence is?",Poor,339,11.2,313,10.7,305,7.2
1,"Some people know more about artificial intelligence than other people due to their experience with it. Would you say you personally have an excellent, good, only fair or poor understanding of what artificial intelligence is?",Total,3031,100.0,2932,100.0,4257,100.0
2,"Overall, what impact do you believe artificial intelligence will have on how people work and live in the next 10 years?",Very positive,331,10.9,367,12.5,277,6.5
2,"Overall, what impact do you believe artificial intelligence will have on how people work and live in the next 10 years?",Mostly positive,1852,61.0,1699,57.6,2580,60.7
2,"Overall, what impact do you believe artificial intelligence will have on how people work and live in the next 10 years?",Mostly negative,608,20.0,582,19.8,1092,25.7
2,"Overall, what impact do you believe artificial intelligence will have on how people work and live in the next 10 years?",Very negative,122,4.0,113,3.8,187,4.4
2,"Overall, what impact do you believe artificial intelligence will have on how people work and live in the next 10 years?",No impact,125,4.1,186,6.3,115,2.7
3,"Thinking about the number of jobs in [Field-COUNTRY], do you believe an increase in the use of artificial intelligence will…",Create more jobs than artificial intelligence eliminates,725,23.9,686,23.2,663,15.6
3,"Thinking about the number of jobs in [Field-COUNTRY], do you believe an increase in the use of artificial intelligence will…",Eliminate more jobs than artificial intelligence creates,1859,61.2,1765,59.8,3009,70.8
3,"Thinking about the number of jobs in [Field-COUNTRY], do you believe an increase in the use of artificial intelligence will…",Have no impact on number of jobs in ${e://Field/COUNTRY},455,15.0,500,16.9,577,13.6
4,"Thinking about the types of jobs in [Field-COUNTRY],
do you believe an increase in the use of artificial intelligence will…",Increase the number of good jobs available to most people,989,32.5,846,28.6,1100,25.9
4,"Thinking about the types of jobs in [Field-COUNTRY],
do you believe an increase in the use of artificial intelligence will…",Decrease the number of good jobs available to most people,1499,49.2,1435,48.6,2376,56.0
4,"Thinking about the types of jobs in [Field-COUNTRY],
do you believe an increase in the use of artificial intelligence will…",Have no impact on the number of good jobs available to most people,560,18.4,673,22.8,770,18.1
4,"Thinking about the types of jobs in [Field-COUNTRY],
do you believe an increase in the use of artificial intelligence will…",Total,3048,100.0,2955,100.0,4246,100.0
5,"Is each of the following a major threat, minor threat, or not a threat to jobs in [COUNTRY] in the next 10 years?  Job loss due to immigration",Major threat,801,26.4,796,27.0,1100,25.8
5,"Is each of the following a major threat, minor threat, or not a threat to jobs in [COUNTRY] in the next 10 years?  Job loss due to immigration",Minor threat,1098,36.1,1242,42.1,1304,30.6
5,"Is each of the following a major threat, minor threat, or not a threat to jobs in [COUNTRY] in the next 10 years?  Job loss due to immigration",Not a threat,1140,37.5,912,30.9,1852,43.5
5,"Is each of the following a major threat, minor threat, or not a threat to jobs in [COUNTRY] in the next 10 years?  Job loss due to immigration",Total,3039,100.0,2950,100.0,4256,100.0
6,"Is each of the following a major threat, minor threat, or not a threat to jobs in [COUNTRY] in the next 10 years? Job loss due to the growing adoption of artificial
  intelligence",Major threat,1058,34.8,940,31.9,1512,35.5
6,"Is each of the following a major threat, minor threat, or not a threat to jobs in [COUNTRY] in the next 10 years? Job loss due to the growing adoption of artificial
  intelligence",Minor threat,1539,50.6,1544,52.4,2214,52.1
6,"Is each of the following a major threat, minor threat, or not a threat to jobs in [COUNTRY] in the next 10 years? Job loss due to the growing adoption of artificial
  intelligence",Not a threat,443,14.6,464,15.8,527,12.4
6,"Is each of the following a major threat, minor threat, or not a threat to jobs in [COUNTRY] in the next 10 years? Job loss due to the growing adoption of artificial
  intelligence",Total,3040,100.0,2948,100.0,4253,100.0
7,"Is each of the following a major threat, minor threat, or not a threat to jobs in [COUNTRY] in the next 10 years? Job loss due to businesses moving jobs outside [Field-COUNTRY]",Major threat,1569,51.6,1460,49.4,2578,60.6
7,"Is each of the following a major threat, minor threat, or not a threat to jobs in [COUNTRY] in the next 10 years? Job loss due to businesses moving jobs outside [Field-COUNTRY]",Minor threat,1207,39.7,1185,40.1,1451,34.1
7,"Is each of the following a major threat, minor threat, or not a threat to jobs in [COUNTRY] in the next 10 years? Job loss due to businesses moving jobs outside [Field-COUNTRY]",Not a threat,262,8.6,309,10.5,223,5.2
7,"Is each of the following a major threat, minor threat, or not a threat to jobs in [COUNTRY] in the next 10 years? Job loss due to businesses moving jobs outside [Field-COUNTRY]",Total,3038,100.0,2954,100.0,4251,100.0
8,"Is each of the following a major threat, minor threat, or not a threat to jobs in [COUNTRY] in the next 10 years?  Job loss due to increased tariffs and other trade
barriers",Major threat,1480,48.6,1136,38.5,1752,41.2
8,"Is each of the following a major threat, minor threat, or not a threat to jobs in [COUNTRY] in the next 10 years?  Job loss due to increased tariffs and other trade
barriers",Minor threat,1315,43.2,1427,48.4,1893,44.5
8,"Is each of the following a major threat, minor threat, or not a threat to jobs in [COUNTRY] in the next 10 years?  Job loss due to increased tariffs and other trade
barriers",Not a threat,249,8.2,388,13.1,606,14.3
8,"Is each of the following a major threat, minor threat, or not a threat to jobs in [COUNTRY] in the next 10 years?  Job loss due to increased tariffs and other trade
barriers",Total,3045,100.0,2951,100.0,4252,100.0
9,"Which
of the following do you believe is a greater threat to jobs in [Field-COUNTRY]
in the next 10 years?",Job loss due to companies leaving the UK or scaling back operations after Brexit,,,2095,71.1,,
9,"Which
of the following do you believe is a greater threat to jobs in [Field-COUNTRY]
in the next 10 years?",Job loss due to the growing adoption of artificial intelligence,,,852,28.9,,
9,"Which
of the following do you believe is a greater threat to jobs in [Field-COUNTRY]
in the next 10 years?",Total,,,2947,100.0,,
10,"When you use products or services that employ
artificial intelligence, how often do you worry that your personal information
is at risk?",Very often,635,20.9,515,17.4,1199,28.2
10,"When you use products or services that employ
artificial intelligence, how often do you worry that your personal information
is at risk?",Often,1282,42.1,1184,40.0,1783,41.9
10,"When you use products or services that employ
artificial intelligence, how often do you worry that your personal information
is at risk?",Rarely,986,32.4,1062,35.9,1126,26.5
10,"When you use products or services that employ
artificial intelligence, how often do you worry that your personal information
is at risk?",Never,142,4.7,196,6.6,146,3.4
10,"When you use products or services that employ
artificial intelligence, how often do you worry that your personal information
is at risk?",Total,3046,100.0,2958,100.0,4255,100.0
11,"Who do you believe should pay for retraining programs for workers who lose their jobs because of new technology, automation, robots or artificial intelligence? Please select all that apply. Workers themselves",Workers themselves,674,22.2,475,16.1,1563,36.9
11,"Who do you believe should pay for retraining programs for workers who lose their jobs because of new technology, automation, robots or artificial intelligence? Please select all that apply. Workers themselves","Unions, industry or trade associations",899,29.6,467,15.8,1942,45.9
11,"Who do you believe should pay for retraining programs for workers who lose their jobs because of new technology, automation, robots or artificial intelligence? Please select all that apply. Workers themselves",Employers,1790,58.9,1776,60.1,3100,73.2
11,"Who do you believe should pay for retraining programs for workers who lose their jobs because of new technology, automation, robots or artificial intelligence? Please select all that apply. Workers themselves",Local government,899,29.6,832,28.1,1060,25.0
11,"Who do you believe should pay for retraining programs for workers who lose their jobs because of new technology, automation, robots or artificial intelligence? Please select all that apply. Workers themselves",State government,,,,,1529,36.1
11,"Who do you believe should pay for retraining programs for workers who lose their jobs because of new technology, automation, robots or artificial intelligence? Please select all that apply. Workers themselves",Provincial government,1456,47.9,,,,
11,"Who do you believe should pay for retraining programs for workers who lose their jobs because of new technology, automation, robots or artificial intelligence? Please select all that apply. Workers themselves",Federal government,1705,56.1,,,1868,44.1
11,"Who do you believe should pay for retraining programs for workers who lose their jobs because of new technology, automation, robots or artificial intelligence? Please select all that apply. Workers themselves",Central government,,,1657,56.0,,
11,"Who do you believe should pay for retraining programs for workers who lose their jobs because of new technology, automation, robots or artificial intelligence? Please select all that apply. Workers themselves",European Union,,,384,13.0,,
11,"Who do you believe should pay for retraining programs for workers who lose their jobs because of new technology, automation, robots or artificial intelligence? Please select all that apply. Workers themselves",Colleges and universities,285,9.4,236,8.0,727,17.2
11,"Who do you believe should pay for retraining programs for workers who lose their jobs because of new technology, automation, robots or artificial intelligence? Please select all that apply. Workers themselves",Total,3041,100.0,2957,100.0,4234,100.0
12,"Which of the following types of skills do you believe
are more important for [Field-DEMONYM] workers to have to protect themselves from
losing their jobs to new technology, automation, robots, or artificial
intelligence?","Skills like team work, communication, creativity, and critical thinking",1806,59.7,1764,60.2,2121,50.0
12,"Which of the following types of skills do you believe
are more important for [Field-DEMONYM] workers to have to protect themselves from
losing their jobs to new technology, automation, robots, or artificial
intelligence?","Skills like math, science, coding, and ability to work with data",1219,40.3,1169,39.8,2122,50.0
12,"Which of the following types of skills do you believe
are more important for [Field-DEMONYM] workers to have to protect themselves from
losing their jobs to new technology, automation, robots, or artificial
intelligence?",Total,3024,100.0,2933,100.0,4243,100.0
13,"Do you believe earning a college
degree is more
important, less important, or about the same as it was 10 years ago?",More important,1400,46.0,754,25.6,1486,34.9
13,"Do you believe earning a college
degree is more
important, less important, or about the same as it was 10 years ago?",Less important,823,27.0,1346,45.6,1529,35.9
13,"Do you believe earning a college
degree is more
important, less important, or about the same as it was 10 years ago?",About the same,821,27.0,851,28.8,1240,29.1
13,"Do you believe earning a college
degree is more
important, less important, or about the same as it was 10 years ago?",Total,3044,100.0,2951,100.0,4254,100.0
14,"Ten
years from now, do you expect earning a college
degree to be more important,
less important, or about the same as it is now?",More important,1303,42.8,725,24.6,1272,29.9
14,"Ten
years from now, do you expect earning a college
degree to be more important,
less important, or about the same as it is now?",Less important,787,25.9,1219,41.3,1410,33.1
14,"Ten
years from now, do you expect earning a college
degree to be more important,
less important, or about the same as it is now?",About the same,953,31.3,1005,34.1,1576,37.0
14,"Ten
years from now, do you expect earning a college
degree to be more important,
less important, or about the same as it is now?",Total,3043,100.0,2950,100.0,4257,100.0
15,"The quality of higher education in [Field-COUNTRY]
is among the best in the world.",1 - Strongly disagree,92,3.0,129,4.4,514,12.1
15,"The quality of higher education in [Field-COUNTRY]
is among the best in the world.",2,215,7.1,257,8.7,798,18.8
15,"The quality of higher education in [Field-COUNTRY]
is among the best in the world.",3,989,32.5,1127,38.1,1558,36.6
15,"The quality of higher education in [Field-COUNTRY]
is among the best in the world.",4,1242,40.8,999,33.8,976,23.0
15,"The quality of higher education in [Field-COUNTRY]
is among the best in the world.",5 - Strongly agree,509,16.7,447,15.1,405,9.5
15,"The quality of higher education in [Field-COUNTRY]
is among the best in the world.",Total,3047,100.0,2958,100.0,4251,100.0
16,"Universities in [Field-COUNTRY] do a good
job preparing graduates for success in the current workforce.",1 - Strongly disagree,140,4.6,218,7.4,739,17.4
16,"Universities in [Field-COUNTRY] do a good
job preparing graduates for success in the current workforce.",2,382,12.5,509,17.2,1203,28.3
16,"Universities in [Field-COUNTRY] do a good
job preparing graduates for success in the current workforce.",3,1145,37.6,1210,41.0,1590,37.4
16,"Universities in [Field-COUNTRY] do a good
job preparing graduates for success in the current workforce.",4,1016,33.4,708,24.0,593,13.9
16,"Universities in [Field-COUNTRY] do a good
job preparing graduates for success in the current workforce.",5 - Strongly agree,360,11.8,306,10.4,124,2.9
16,"Universities in [Field-COUNTRY] do a good
job preparing graduates for success in the current workforce.",Total,3044,100.0,2950,100.0,4249,100.0
17,"Universities in [Field-COUNTRY] do a good job preparing
students for jobs of the future, many of which will require some technological
skills and the ability to work with data.",1 - Strongly disagree,104,3.4,163,5.5,495,11.7
17,"Universities in [Field-COUNTRY] do a good job preparing
students for jobs of the future, many of which will require some technological
skills and the ability to work with data.",2,331,10.9,436,14.8,1069,25.2
17,"Universities in [Field-COUNTRY] do a good job preparing
students for jobs of the future, many of which will require some technological
skills and the ability to work with data.",3,1163,38.3,1232,41.7,1747,41.1
17,"Universities in [Field-COUNTRY] do a good job preparing
students for jobs of the future, many of which will require some technological
skills and the ability to work with data.",4,1055,34.7,809,27.4,793,18.7
17,"Universities in [Field-COUNTRY] do a good job preparing
students for jobs of the future, many of which will require some technological
skills and the ability to work with data.",5 - Strongly agree,383,12.6,312,10.6,145,3.4
17,"Universities in [Field-COUNTRY] do a good job preparing
students for jobs of the future, many of which will require some technological
skills and the ability to work with data.",Total,3036,100.0,2953,100.0,4248,100.0
18,"Which type of program do you think offers the highest quality
education?",Traditional in-person programs,1088,35.8,1054,35.7,1684,39.6
18,"Which type of program do you think offers the highest quality
education?",Online programs,225,7.4,274,9.3,42,1.0
18,"Which type of program do you think offers the highest quality
education?",Hybrid programs with both in-person and online instruction,1250,41.1,1124,38.1,1836,43.2
18,"Which type of program do you think offers the highest quality
education?",Each type of program is about the same,478,15.7,499,16.9,690,16.2
18,"Which type of program do you think offers the highest quality
education?",Total,3040,100.0,2952,100.0,4252,100.0
19,"Do you agree that it is more important for individuals
to learn and be trained frequently over the course of their career, instead of pursuing
a one-time advanced degree or certificate?",Yes,2807,92.3,2768,93.8,4029,94.7
19,"Do you agree that it is more important for individuals
to learn and be trained frequently over the course of their career, instead of pursuing
a one-time advanced degree or certificate?",No,235,7.7,183,6.2,224,5.3
19,"Do you agree that it is more important for individuals
to learn and be trained frequently over the course of their career, instead of pursuing
a one-time advanced degree or certificate?",Total,3042,100.0,2951,100.0,4253,100.0
20,Do you believe that each of the following is doing enough to address the need for career-long learning and training in [COUNTRY]? Government,Yes,976,34.8,836,30.2,895,22.3
20,Do you believe that each of the following is doing enough to address the need for career-long learning and training in [COUNTRY]? Government,No,1829,65.2,1929,69.8,3114,77.7
20,Do you believe that each of the following is doing enough to address the need for career-long learning and training in [COUNTRY]? Government,Total,2805,100.0,2764,100.0,4010,100.0
21,Do you believe that each of the following is doing enough to address the need for career-long learning and training in [COUNTRY]? Large businesses,Yes,1074,38.4,1128,40.9,1151,28.7
21,Do you believe that each of the following is doing enough to address the need for career-long learning and training in [COUNTRY]? Large businesses,No,1725,61.6,1631,59.1,2854,71.3
21,Do you believe that each of the following is doing enough to address the need for career-long learning and training in [COUNTRY]? Large businesses,Total,2798,100.0,2759,100.0,4005,100.0
22,Do you believe that each of the following is doing enough to address the need for career-long learning and training in [COUNTRY]?  Small and medium-sized businesses,Yes,1070,38.4,1075,39.1,1435,35.9
22,Do you believe that each of the following is doing enough to address the need for career-long learning and training in [COUNTRY]?  Small and medium-sized businesses,No,1715,61.6,1675,60.9,2561,64.1
22,Do you believe that each of the following is doing enough to address the need for career-long learning and training in [COUNTRY]?  Small and medium-sized businesses,Total,2786,100.0,2750,100.0,3996,100.0
23,Do you believe that each of the following is doing enough to address the need for career-long learning and training in [COUNTRY]?  Higher education,Yes,1456,52.3,1231,44.7,1002,25.1
23,Do you believe that each of the following is doing enough to address the need for career-long learning and training in [COUNTRY]?  Higher education,No,1327,47.7,1525,55.3,2997,74.9
23,Do you believe that each of the following is doing enough to address the need for career-long learning and training in [COUNTRY]?  Higher education,Total,2783,100.0,2756,100.0,3998,100.0
24,Many people may require financial assistance to pay for career-long learning and training opportunities needed to keep up with advances in artificial intelligence. Who should be responsible for helping make this kind of education more affordable? Select all that apply. Local government,Local government,907,32.4,772,28.0,1172,29.5
24,Many people may require financial assistance to pay for career-long learning and training opportunities needed to keep up with advances in artificial intelligence. Who should be responsible for helping make this kind of education more affordable? Select all that apply. Local government,State government,,,,,1692,42.6
24,Many people may require financial assistance to pay for career-long learning and training opportunities needed to keep up with advances in artificial intelligence. Who should be responsible for helping make this kind of education more affordable? Select all that apply. Local government,Provincial government,1572,56.2,,,,
24,Many people may require financial assistance to pay for career-long learning and training opportunities needed to keep up with advances in artificial intelligence. Who should be responsible for helping make this kind of education more affordable? Select all that apply. Local government,Federal government,1793,64.1,,,2093,52.7
24,Many people may require financial assistance to pay for career-long learning and training opportunities needed to keep up with advances in artificial intelligence. Who should be responsible for helping make this kind of education more affordable? Select all that apply. Local government,Central government,,,1699,61.6,,
24,Many people may require financial assistance to pay for career-long learning and training opportunities needed to keep up with advances in artificial intelligence. Who should be responsible for helping make this kind of education more affordable? Select all that apply. Local government,Current employers,1517,54.2,1444,52.3,2909,73.2
24,Many people may require financial assistance to pay for career-long learning and training opportunities needed to keep up with advances in artificial intelligence. Who should be responsible for helping make this kind of education more affordable? Select all that apply. Local government,Prospective employers,1169,41.8,1098,39.8,2502,63.0
24,Many people may require financial assistance to pay for career-long learning and training opportunities needed to keep up with advances in artificial intelligence. Who should be responsible for helping make this kind of education more affordable? Select all that apply. Local government,Universities,1078,38.5,817,29.6,2221,55.9
24,Many people may require financial assistance to pay for career-long learning and training opportunities needed to keep up with advances in artificial intelligence. Who should be responsible for helping make this kind of education more affordable? Select all that apply. Local government,Total,2797,100.0,2760,100.0,3971,100.0
25,"Employers who pay for their workers’ education
and training should receive tax credits from the government.",1 - Strongly disagree,119,3.9,104,3.5,338,8.0
25,"Employers who pay for their workers’ education
and training should receive tax credits from the government.",2,141,4.6,127,4.3,298,7.0
25,"Employers who pay for their workers’ education
and training should receive tax credits from the government.",3,629,20.7,724,24.5,762,17.9
25,"Employers who pay for their workers’ education
and training should receive tax credits from the government.",4,977,32.1,1015,34.4,1289,30.4
25,"Employers who pay for their workers’ education
and training should receive tax credits from the government.",5 - Strongly agree,1177,38.7,983,33.3,1558,36.7
26,Do you support or not support a universal basic income program as a way to help people in [Field-COUNTRY] who lose their jobs because of advances in artificial intelligence?,Support,2271,74.6,2259,76.6,1838,43.4
26,Do you support or not support a universal basic income program as a way to help people in [Field-COUNTRY] who lose their jobs because of advances in artificial intelligence?,Do not support,772,25.4,692,23.4,2393,56.6
27,"Would you be willing to pay higher taxes to fund
a universal basic income program like the one described?",Yes,1112,49.2,1187,52.8,1368,74.6
27,"Would you be willing to pay higher taxes to fund
a universal basic income program like the one described?",No,1149,50.8,1060,47.2,466,25.4
28,"Companies that benefit most from advancements in
artificial intelligence should pay more taxes to fund a universal basic income
program.",1 - Strongly disagree,68,3.0,58,2.6,114,6.2
28,"Companies that benefit most from advancements in
artificial intelligence should pay more taxes to fund a universal basic income
program.",2,104,4.6,84,3.7,82,4.4
28,"Companies that benefit most from advancements in
artificial intelligence should pay more taxes to fund a universal basic income
program.",3,584,25.8,624,27.6,261,14.2
28,"Companies that benefit most from advancements in
artificial intelligence should pay more taxes to fund a universal basic income
program.",4,678,29.9,763,33.8,416,22.6
28,"Companies that benefit most from advancements in
artificial intelligence should pay more taxes to fund a universal basic income
program.",5 - Strongly agree,832,36.7,729,32.3,965,52.5
29,Have you made any career decisions because of what you know about developments in artificial intelligence?,Yes,515,16.9,426,14.4,562,13.2
29,Have you made any career decisions because of what you know about developments in artificial intelligence?,No,2526,83.1,2525,85.6,3687,86.8
30,"Which of the following best describes your current
employment status?",Employed full-time,1428,46.8,1239,41.9,2239,52.6
30,"Which of the following best describes your current
employment status?","Employed part-time, but not a full-time student",291,9.5,449,15.2,278,6.5
30,"Which of the following best describes your current
employment status?",Retired,741,24.3,645,21.8,951,22.3
30,"Which of the following best describes your current
employment status?",A full-time student,156,5.1,132,4.5,176,4.1
30,"Which of the following best describes your current
employment status?",Homemaker,151,4.9,178,6.0,265,6.2
30,"Which of the following best describes your current
employment status?",Not employed,134,4.4,161,5.4,120,2.8
30,"Which of the following best describes your current
employment status?",Temporary or contract worker,50,1.6,38,1.3,85,2.0
30,"Which of the following best describes your current
employment status?",Disabled,99,3.2,118,4.0,147,3.4
31,"Is your primary job with the government, a private
company, a non-profit organization, or are you self-employed?",Federal government,163,9.3,,,145,5.6
31,"Is your primary job with the government, a private
company, a non-profit organization, or are you self-employed?",State or local government,,,,,380,14.6
31,"Is your primary job with the government, a private
company, a non-profit organization, or are you self-employed?",Provincial or local government,301,17.1,,,,
31,"Is your primary job with the government, a private
company, a non-profit organization, or are you self-employed?",Central government,,,182,10.6,,
31,"Is your primary job with the government, a private
company, a non-profit organization, or are you self-employed?",Local government,,,250,14.5,,
31,"Is your primary job with the government, a private
company, a non-profit organization, or are you self-employed?",Private company,978,55.4,951,55.3,1500,57.7
31,"Is your primary job with the government, a private
company, a non-profit organization, or are you self-employed?",Non-profit organization,154,8.7,174,10.1,296,11.4
31,"Is your primary job with the government, a private
company, a non-profit organization, or are you self-employed?",Self-employed,168,9.5,163,9.5,280,10.7
32,"Which occupation category best describes your
primary job? - Selected Choice",Management,230,13.1,267,15.5,250,9.6
32,"Which occupation category best describes your
primary job? - Selected Choice",Business and financial operations,141,8.0,127,7.4,164,6.3
32,"Which occupation category best describes your
primary job? - Selected Choice",Computer and mathematical,91,5.1,87,5.1,152,5.8
32,"Which occupation category best describes your
primary job? - Selected Choice",Architecture,17,1.0,15,0.9,7,0.3
32,"Which occupation category best describes your
primary job? - Selected Choice",Engineering,71,4.0,55,3.2,119,4.6
32,"Which occupation category best describes your
primary job? - Selected Choice","Life, physical, and social science",18,1.0,30,1.7,34,1.3
32,"Which occupation category best describes your
primary job? - Selected Choice",Community and social service,27,1.6,21,1.2,41,1.6
32,"Which occupation category best describes your
primary job? - Selected Choice",Legal,39,2.2,35,2.0,67,2.6
32,"Which occupation category best describes your
primary job? - Selected Choice","Education, training, and library",123,7.0,136,7.9,285,11.0
32,"Which occupation category best describes your
primary job? - Selected Choice","Arts, design, entertainment, sports, and media",41,2.3,47,2.7,100,3.8
32,"Which occupation category best describes your
primary job? - Selected Choice",Healthcare practitioners and technical,100,5.6,66,3.8,103,3.9
32,"Which occupation category best describes your
primary job? - Selected Choice",Healthcare support,63,3.5,62,3.6,95,3.7
32,"Which occupation category best describes your
primary job? - Selected Choice",Protective service,21,1.2,14,0.8,35,1.4
32,"Which occupation category best describes your
primary job? - Selected Choice",Food preparation and serving related,59,3.3,44,2.6,60,2.3
32,"Which occupation category best describes your
primary job? - Selected Choice",Building and grounds cleaning and maintenance,22,1.2,16,0.9,31,1.2
32,"Which occupation category best describes your
primary job? - Selected Choice",Personal care and service,37,2.1,23,1.4,31,1.2
32,"Which occupation category best describes your
primary job? - Selected Choice",Sales and related,143,8.1,168,9.8,180,6.9
32,"Which occupation category best describes your
primary job? - Selected Choice",Office and administrative support,143,8.1,177,10.3,154,5.9
32,"Which occupation category best describes your
primary job? - Selected Choice","Farming, fishing, and forestry",21,1.2,9,0.5,33,1.3
32,"Which occupation category best describes your
primary job? - Selected Choice",Construction and extraction,59,3.3,55,3.2,72,2.8
32,"Which occupation category best describes your
primary job? - Selected Choice","Installation, maintenance, and repair",28,1.6,27,1.6,88,3.4
32,"Which occupation category best describes your
primary job? - Selected Choice",Production,74,4.2,48,2.8,83,3.2
32,"Which occupation category best describes your
primary job? - Selected Choice",Transportation and material moving,50,2.9,51,3.0,139,5.4
32,"Which occupation category best describes your
primary job? - Selected Choice",Other (please specify),148,8.4,145,8.4,274,10.5
33,"What kind of business activity would you say
best describes the organization where you primarily work: - Selected Choice",Manufacturing goods,163,9.4,162,9.5,234,9.0
33,"What kind of business activity would you say
best describes the organization where you primarily work: - Selected Choice","Professional services (e.g., legal, engineering, computer programming, consulting, administrative services)",301,17.4,332,19.6,367,14.2
33,"What kind of business activity would you say
best describes the organization where you primarily work: - Selected Choice","Healthcare, education, non-profit, or government services",382,22.0,365,21.5,703,27.2
33,"What kind of business activity would you say
best describes the organization where you primarily work: - Selected Choice",Finance or real estate,152,8.7,120,7.1,141,5.5
33,"What kind of business activity would you say
best describes the organization where you primarily work: - Selected Choice","Restaurants, entertainment, or hospitality",98,5.6,97,5.7,101,3.9
33,"What kind of business activity would you say
best describes the organization where you primarily work: - Selected Choice","Media, internet, software, cable, or phone services",74,4.3,76,4.5,106,4.1
