City,City Population,Acres of Parkland,"Parkland per 1,000 Residents"
"Des Moines, IA",227308,6972,30.7
"Arlington, VA",227454,1760,7.7
"Boise, ID",227531,4327,19.0
"Fremont, CA",230734,24454,106.0
"Baton Rouge, LA",233114,1436,6.2
"Hialeah, FL",233504,208,0.9
"North Las Vegas, NV",243535,16731,68.7
"Irving, TX",243678,1956,8.0
"Garland, TX",244303,2440,10.0
"Winston-Salem, NC",246224,3856,15.7
"Chesapeake, VA",246615,56258,228.1
"Glendale, AZ",247804,2149,8.7
"Scottsdale, AZ",249005,31474,126.4
"Norfolk, VA",249954,1781,7.1
"Reno, NV",255055,3446,13.5
"Madison, WI",258275,6646,25.7
"St. Petersburg, FL",260094,6154,23.7
"Buffalo, NY",260157,1922,7.4
"Lubbock, TX",260624,2228,8.5
"Gilbert, AZ",261287,1212,4.6
"Fort Wayne, IN",264159,2400,9.1
"Laredo, TX",268976,1182,4.4
"Irvine, CA",270731,11582,42.8
"Durham, NC",271001,2623,9.7
"Chula Vista, CA",272387,2133,7.8
"Chandler, AZ",275654,1536,5.6
"Jersey City, NJ",278539,1677,6.0
"Toledo, OH",278978,3166,11.3
"Newark, NJ",284054,838,3.0
"Orlando, FL",286678,3361,11.7
"Lincoln, NE",287896,3818,13.3
"Greensboro, NC",288594,7908,27.4
"Plano, TX",295013,4375,14.8
"Henderson, NV",298927,9127,30.5
"Anchorage, AK",303421,914138,3012.8
"St. Paul, MN",305840,4941,16.2
"Cincinnati, OH",308969,6892,22.3
"Pittsburgh, PA",310884,3683,11.8
"Stockton, CA",313009,1157,3.7
"St. Louis, MO",315273,3696,11.7
"Riverside, CA",321943,3281,10.2
"Lexington/Fayette, KY",323298,4421,13.7
"Corpus Christi, TX",337094,8595,25.5
"Santa Ana, CA",342217,739,2.2
"Anaheim, CA",359477,2663,7.4
"Aurora, CO",370647,10424,28.1
"Tampa, FL",379551,5264,13.9
"Cleveland, OH",381226,3166,8.3
"Bakersfield, CA",383573,5339,13.9
"Arlington, TX",389547,4714,12.1
"New Orleans, LA",392887,27835,70.8
"Wichita, KS",400599,5007,12.5
"Tulsa, OK",415675,10148,24.4
"Minneapolis, MN",419897,5072,12.1
"Oakland, CA",420486,3867,9.2
"Omaha, NE",450466,10206,22.7
"Miami, FL",453952,1500,3.3
"Virginia Beach, VA",461588,24940,54.0
"Raleigh, NC",469363,9874,21.0
"Colorado Springs, CO",471059,11048,23.5
"Atlanta, GA",477371,5285,11.1
"Long Beach, CA",480903,3126,6.5
"Kansas City, MO",497311,17771,35.7
"Sacramento, CA",500667,4297,8.6
"Mesa, AZ",501137,2922,5.8
"Fresno, CA",528920,2957,5.6
"Tucson, AZ",541841,4563,8.4
"Oklahoma City, OK",545908,14787,27.1
"Albuquerque, NM",571471,26990,47.2
"Milwaukee, WI",587575,5537,9.4
"Baltimore, MD",613084,4921,8.0
"Louisville, KY",632268,17750,28.1
"Las Vegas, NV",639625,16900,26.4
"Portland, OR",652565,14654,22.5
"Detroit, MI",656573,5873,8.9
"Memphis, TN",662038,9194,13.9
"Boston, MA",674913,5072,7.5
"Nashville/Davidson, TN",684946,33997,49.6
"Washington, DC",688642,8232,12.0
"El Paso, TX",698533,30731,44.0
"Seattle, WA",710295,6613,9.3
"Denver, CO",714708,6242,8.7
"Indianapolis, IN",864472,11464,13.3
"Columbus, OH",876962,11769,13.4
"San Francisco, CA",878294,5888,6.7
"Fort Worth, TX",882972,12065,13.7
"Jacksonville, FL",907722,67993,74.9
"Austin, TX",969733,17568,18.1
"Honolulu, HI",1014168,66210,65.3
"San Jose, CA",1040606,15808,15.2
"Charlotte/Mecklenburg, NC",1092533,20932,19.2
"Dallas, TX",1356896,20352,15.0
"San Diego, CA",1405422,39269,27.9
"San Antonio, TX",1457400,30407,20.9
"Philadelphia, PA",1591765,11034,6.9
"Phoenix, AZ",1616300,49653,30.7
"Houston, TX",2358708,40727,17.3
"Chicago, IL",2768416,13563,4.9
"Los Angeles, CA",4002721,36934,9.2
"New York, NY",8679888,40764,4.7