City,City Population,Land Area,Revised Area,Density
"Albuquerque, NM","571,471","120,147","116,051",4.92
"Anaheim, CA","359,477","31,895","31,890",11.27
"Anchorage, AK","303,421","1,090,997","1,086,019",0.28
"Arlington, TX","389,547","61,364","60,876",6.40
"Arlington, VA","227,454","16,623","15,878",14.33
"Atlanta, GA","477,371","85,217","84,250",5.67
"Aurora, CO","370,647","99,030","98,788",3.75
"Austin, TX","969,733","190,653","186,902",5.19
"Bakersfield, CA","383,573","90,985","90,527",4.24
"Baltimore, MD","613,084","51,804","51,318",11.95
"Baton Rouge, LA","233,114","49,246","48,353",4.82
"Boise, ID","227,531","50,793","48,343",4.71
"Boston, MA","674,913","30,897","29,175",23.13
"Buffalo, NY","260,157","25,846","25,308",10.28
"Chandler, AZ","275,654","41,224","40,941",6.73
"Charlotte/Mecklenburg, NC","1,092,533","335,259","346,966",3.15
"Chesapeake, VA","246,615","218,112","216,639",1.14
"Chicago, IL","2,768,416","145,686","136,796",20.24
"Chula Vista, CA","272,387","31,764","31,764",8.58
"Cincinnati, OH","308,969","49,883","48,724",6.34
"Cleveland, OH","381,226","49,726","46,880",8.13
"Colorado Springs, CO","471,059","124,506","118,043",3.99
"Columbus, OH","876,962","138,988","133,309",6.58
"Corpus Christi, TX","337,094","102,791","100,553",3.35
"Dallas, TX","1,356,896","217,932","215,676",6.29
"Denver, CO","714,708","97,920","74,797",9.56
"Des Moines, IA","227,308","58,023","56,255",4.04
"Detroit, MI","656,573","88,800","87,844",7.47
"Durham, NC","271,001","68,717","68,678",3.95
"El Paso, TX","698,533","163,351","159,763",4.37
"Fort Wayne, IN","264,159","70,796","69,318",3.81
"Fort Worth, TX","882,972","217,484","214,065",4.12
"Fremont, CA","230,734","49,574","49,516",4.66
"Fresno, CA","528,920","71,652","71,486",7.40
"Garland, TX","244,303","36,534","36,520",6.69
"Gilbert, AZ","261,287","43,496","43,496",6.01
"Glendale, AZ","247,804","38,385","38,196",6.49
"Greensboro, NC","288,594","80,970","80,844",3.57
"Henderson, NV","298,927","68,948","68,542",4.36
"Hialeah, FL","233,504","13,728","13,666",17.09
"Honolulu, HI","1,014,168","384,474","379,885",2.67
"Houston, TX","2,358,708","383,737","370,271",6.37
"Indianapolis, IN","864,472","231,317","225,965",3.83
"Irvine, CA","270,731","42,308","42,308",6.40
"Irving, TX","243,678","42,891","37,060",6.58
"Jacksonville, FL","907,722","478,082","467,298",1.94
"Jersey City, NJ","278,539","9,468","9,261",30.08
"Kansas City, MO","497,311","201,568","195,245",2.55
"Laredo, TX","268,976","56,901","55,391",4.86
"Las Vegas, NV","639,625","86,921","86,921",7.36
"Lexington/Fayette, KY","323,298","181,536","180,899",1.79
"Lincoln, NE","287,896","57,033","53,666",5.36
"Long Beach, CA","480,903","32,188","31,066",15.48
"Los Angeles, CA","4,002,721","299,949","295,015",13.57
"Louisville, KY","632,268","237,115","216,524",2.92
"Lubbock, TX","260,624","78,343","76,929",3.39
"Madison, WI","258,275","49,145","47,519",5.44
"Memphis, TN","662,038","201,635","196,098",3.38
"Mesa, AZ","501,137","87,330","83,578",6.00
"Miami, FL","453,952","22,957","22,949",19.78
"Milwaukee, WI","587,575","61,518","59,126",9.94
"Minneapolis, MN","419,897","34,543","33,958",12.37
"Nashville/Davidson, TN","684,946","304,080","318,562",2.15
"New Orleans, LA","392,887","108,431","107,655",3.65
"New York, NY","8,679,888","193,692","187,946",46.18
"Newark, NJ","284,054","15,480","14,054",20.21
"Norfolk, VA","249,954","34,637","33,186",7.53
"North Las Vegas, NV","243,535","64,861","63,941",3.81
"Oakland, CA","420,486","35,703","33,181",12.67
"Oklahoma City, OK","545,908","132,805","382,600",1.43
"Omaha, NE","450,466","81,337","78,087",5.77
"Orlando, FL","286,678","65,533","54,494",5.26
"Philadelphia, PA","1,591,765","85,825","82,913",19.20
"Phoenix, AZ","1,616,300","330,690","327,729",4.93
"Pittsburgh, PA","310,884","35,435","35,349",8.79
"Plano, TX","295,013","45,812","45,812",6.44
"Portland, OR","652,565","85,393","81,625",7.99
"Raleigh, NC","469,363","91,458","91,399",5.14
"Reno, NV","255,055","65,926","63,001",4.05
"Riverside, CA","321,943","51,930","51,568",6.24
"Sacramento, CA","500,667","62,666","61,972",8.08
"San Antonio, TX","1,457,400","294,997","292,298",4.99
"San Diego, CA","1,405,422","208,120","205,918",6.83
"San Francisco, CA","878,294","29,999","29,980",29.30
"San Jose, CA","1,040,606","112,977","111,953",9.30
"Santa Ana, CA","342,217","17,453","17,453",19.61
"Scottsdale, AZ","249,005","117,709","117,089",2.13
"Seattle, WA","710,295","53,723","52,765",13.46
"St. Louis, MO","315,273","39,622","39,090",8.07
"St. Paul, MN","305,840","33,266","32,363",9.45
"St. Petersburg, FL","260,094","39,515","39,375",6.61
"Stockton, CA","313,009","39,469","38,918",8.04
"Tampa, FL","379,551","72,582","70,089",5.42
"Toledo, OH","278,978","51,643","51,169",5.45
"Tucson, AZ","541,841","145,094","147,504",3.67
"Tulsa, OK","415,675","125,923","123,993",3.35
"Virginia Beach, VA","461,588","159,370","159,341",2.90
"Washington, DC","688,642","39,071","38,955",17.68
"Wichita, KS","400,599","101,949","98,973",4.05
"Winston-Salem, NC","246,224","84,767","83,917",2.93
,,,,
,,,,
,,,,