City ,Percent of Residents within Half-Mile Walk of Park
"Albuquerque, NM",87%
"Anaheim, CA",66%
"Anchorage, AK",75%
"Arlington, TX",57%
"Arlington, VA",98%
"Atlanta, GA",71%
"Aurora, CO",88%
"Austin, TX",59%
"Bakersfield, CA",46%
"Baltimore, MD",87%
"Baton Rouge, LA",53%
"Boise, ID",69%
"Boston, MA",100%
"Buffalo, NY",89%
"Chandler, AZ",62%
"Charlotte/Mecklenburg, NC",36%
"Chesapeake, VA",42%
"Chicago, IL",98%
"Chula Vista, CA",67%
"Cincinnati, OH",77%
"Cleveland, OH",82%
"Colorado Springs, CO",74%
"Columbus, OH",59%
"Corpus Christi, TX",75%
"Dallas, TX",69%
"Denver, CO",90%
"Des Moines, IA",69%
"Detroit, MI",80%
"Durham, NC",51%
"El Paso, TX",56%
"Fort Wayne, IN",n.a.
"Fort Worth, TX",60%
"Fremont, CA",68%
"Fresno, CA",67%
"Garland, TX",62%
"Gilbert, AZ",n.a.
"Glendale, AZ",75%
"Greensboro, NC",63%
"Henderson, NV",52%
"Hialeah, FL",68%
"Honolulu, HI",69%
"Houston, TX",58%
"Indianapolis, IN",n.a.
"Irvine, CA",80%
"Irving, TX",62%
"Jacksonville, FL",35%
"Jersey City, NJ",93%
"Kansas City, MO",69%
"Laredo, TX",54%
"Las Vegas, NV",74%
"Lexington/Fayette, KY",53%
"Lincoln, NE",91%
"Long Beach, CA",83%
"Los Angeles, CA",61%
"Louisville, KY",38%
"Lubbock, TX",55%
"Madison, WI",94%
"Memphis, TN",45%
"Mesa, AZ",65%
"Miami, FL",86%
"Milwaukee, WI",90%
"Minneapolis, MN",96%
"Nashville/Davidson, TN",42%
"New Orleans, LA",80%
"New York, NY",99%
"Newark, NJ",93%
"Norfolk, VA",75%
"North Las Vegas, NV",63%
"Oakland, CA",87%
"Oklahoma City, OK",38%
"Omaha, NE",80%
"Orlando, FL",63%
"Philadelphia, PA",95%
"Phoenix, AZ",49%
"Pittsburgh, PA",91%
"Plano, TX",75%
"Portland, OR",89%
"Raleigh, NC",57%
"Reno, NV",75%
"Riverside, CA",51%
"Sacramento, CA",82%
"San Antonio, TX",42%
"San Diego, CA",79%
"San Francisco, CA",100%
"San Jose, CA",78%
"Santa Ana, CA",75%
"Scottsdale, AZ",40%
"Seattle, WA",96%
"St. Louis, MO",95%
"St. Paul, MN",98%
"St. Petersburg, FL",75%
"Stockton, CA",74%
"Tampa, FL",62%
"Toledo, OH",81%
"Tucson, AZ",63%
"Tulsa, OK",59%
"Virginia Beach, VA",64%
"Washington, DC",98%
"Wichita, KS",53%
"Winston-Salem, NC",36%
,